old,new
εξπελλευτοι,εξπελλευται
προφερομενην,προφερομενης
διοσκωρου,διοσκορου
αφροτιτης,αφροδιτης
ημισιαν,ημισειαν
παρεξωμεν,παρεξομεν
αρτευσαι,αρδευσαι
απολημφθειη,απολειφθειη
τουτον,τουτου
ενοχος,ενοχοι
απολλων,απολλωνα
εγγυο͂μαι,εγγυωμαι
ομοσα,ωμοσα
ποιμενον,ποιμενα
η,η
εδεξαμεν,εδεξαμην
μισθωσεως,μισθωσει
πετιου,πεδιου
πεποιπημαι,πεποιημαι
κιριου,κυριου
κυρος,κυρου
μ,μη
δεις,δις
επαγγελειας,επαγγελιας
βασιλειδα,βασιλιδα
τεσσερα,τεσσαρα
βεβια,βεβαια
εννατης,ενατης
συμφονει,συμφωνει
εγγραψα,εγραψα
εννατης,ενατης
ωφιλη,οφειλη
τηστε,τησδε
σαλκαμαρικο,σαλγαμαρικον
καθʼ,κατʼ
πολιτια,πολιτεια
καθοσιωμενου,καθωσιωμενου
καθοσιωμενου,καθωσιωμενου
τρισκαιδεκατης,τρεισκαιδεκατης
τρισκαιδεκατης,τρεισκαιδεκατης
το περιγιγνομενον,το περιγιγνομενον
αυτουργησαμεν,αυτουργησομεν
μεριδαν,μεριδα
εργασειαν,εργασιαν
συμφονωι,συμφωνει
συνφωνι,συμφωνει
βασιλιας,βασιλειας
συ,συν
ανωνιακων,αννωνιακων
κληρονομων,κληρονομους
σων,σους
των,τους
καθʼ,κατʼ
των,τους
αφʼ,εφʼ
κληρονομοις,κληρονομους
πωλουντων,πωλουντας
παρουσα,παρουση
παρουσα,παρουση
εποικειον,εποικιον
καθʼ,κατʼ
παριδεν,παρειδον
αγγια,αγγεια
εραιας,ερεας
μεμεσωμενας,μεμεστωμενας
καγω,και εγω
προσιμι,προσειμι
ελεινου,ελεεινου
λαφαιραγωγον,λαφυραγωγον
υπελειπαν,υπελιπον
επειδεδωκα,επιδεδωκα
διδασκαλιν,διδασκαλιαν
κτητορ,κτητωρ
κτητορ,κτητωρ
δε,τε
εκλησιας,εκκλησιας
αφροτιτης,αφροδιτης
εκλησιας,εκκλησιας
πρησβυτερος,πρεσβυτερος
μαρτιρος,μαρτυρος
καθοληκης,καθολικης
κτετωρ,κτητωρ
τησπεινης,δεσποινης
ειδησειν,ειδησιν
επειδεδωκα,επιδεδωκα
κτετωρ,κτητωρ
διδασκαλειαν,διδασκαλιαν
επειδεδωκα,επιδεδωκα
αποδιατοχου,αποδιαδοχου
προ,προς
ην,ην
επτακοσιας,επτακοσιων
θαυμασιοτατης,θαυμασιοτητος
προτοκομητων,πρωτοκωμητων
αυτο͂ν,αυτων
διαφορο,διαφορων
κτητορον,κτητορων
μεγαλεπολεως,μεγαλοπολεως
μετανιας,μετανοιας
διακονιτων,διακονητων
μοναζζοντων,μοναζοντων
κανονας,κανονος
πεντακεσχιλιας,πεντακισχιλιας
εικοστης,εικοσταις
αποδιξιν,αποδειξιν
τεμοσιου,δημοσιου
κτητορο,κτητορων
αποτηξιν,αποδειξιν
γραματεως,γραμματεως
επτακοσιας,επτακοσιων
μετανιας,μετανοιας
θεοσεββεστατων,θεοσεβεστατων
πεντακεσχιλειας,πεντακισχιλιας
εικοστες,εικοσταις
συ,συν
αποτιξιν,αποδειξιν
τεμοσιο,δημοσιου
αποτεκξιν,αποδειξιν
σπουδασα,σπουδασαι
του,του
αλλεληγγυης,αλληλεγγυης
εννηνοχαμεν,ενηνοχαμεν
των,τον
θιον,θειον
των,τον
υιων,υιον
ομοσα,ωμοσα
τυ,τη
αλλεληγγυης,αλληλεγγυης
νικο͂ντος,νικωντος
μελισουργους,μελισσουργους
αλλεληγγυης,αλληλεγγυης
βιλισαριο,βελισαριου
ευρηθηναι,ευρεθηναι
οιον,οιας
απολυμφθειη,απολημφθειη
αγιωτατη,αγιωτατης
εκδεδωκαμενι,εκδεδωκαμεν
πολιος,πολεως
το,τω
προτετακμενω,προτεταγμενω
δηναμιν,δυναμιν
εμπεριεχουμενην,εμπεριεχομενην
εμφυτευσι,εμφυτευσει
παροση,παρουση
απελησα,απελυσα
πρεσβετυρος,πρεσβυτερος
οικονωμω,οικονομω
πρεσβετερω,πρεσβυτερω
εκλησιας,εκκλησιας
απελησα,απελυσα
