ID,Author,Genre,Date,Cleaned Text,Provenance,Personnes,Lieux,Text Irregularities
TM 112497,nan,letter,AD 500 - 599,τῆς τοῦ χρυσίου ἀποχ σαν ἀντίνοος καὶ διόσκορος κατὰ πᾶν ευτ νεῦν ὅτι ἐνέγκῃς ἡμῖν τὸ χρυσίον καὶ εἶπεν ὅτι χρυσίον πώει ἵνα δώσω ὑμῖν ἀλλ ἐν τῷ οἴκῳ μού εἰσιν ἔνιοι πώει γὰρ τῇ κώμῃ προσφεύγω διὰ τὴν γενομ μη τοῦ κου τοῦ δίκην δεδωκότος κ ου τοῦ γαμβρ αὐτοῦ ὡς ἠγορακ εια ἐκ το εὐαγοῦς μοναστηρίου τῆς ων πόλεως καὶ πρὸς τοῦτο εἶπον τὰ ἠμέτερα ζητοῦμε κ θ ὑμῶν εἰς τὸ πλοῖον ας καὶ δὴ ἐνέβη μεθ ἡμῶ εύσαμεν εἰς τὴν ἀνταίου π κώμης πρ τὸν ναύτη,Lykopolites,"αντινοος, διοσκορος, πανεσνευς, ","σκινεπκωει, σκινεπωει, εις την ανταιου πολιν",[]
TM 129806,nan,petition,AD 551 - 552,ουτα εὐχαριστέ ὑμετέρᾳ δεσποτεί δεσπ προσημ τῆς πελευθέρας ἄπα ἰωάνης ωάννου δ ἐμοῦ μαννα θίνου ὲρ αὐτῆς ἔγραψα ς ι μετὰ τὴν ὑπατείαν φλ σιλείου τοῦ ἐνδοξοτάτου ι κδ ἰνδι ιε,Aphrodito,,,[]
TM 15336,nan,petition,AD 565,τῆς τάξεως τῆς ὑμετέρας ἐξου τελοῦμεν ἀκολούθως καθὼς πρπον τοῖς περὶ τού οις τ μεγίστοις τύποις ἐνταῦθα δὲ τυγχάνω πρὸ δώδεκα ἡμερῶν λέω ἔλαττον διωχθεὶς παρὰ τοῦ αὐτοῦ αἰδεσίμου ἐξπελλευτοῦ τῆς ἀνταιοπολιτῶν καὶ μηδαμοῦ συγχωρ θεὶς ἢ τῇ αἰσίᾳ βολῇ ἢ τῖ ις δηοσίοις σχολάζε κ μήτε λως πάροδον αὐτοῦ ἔχοντος πρὸς ἡμᾶς καθὼς προεῖπον ἀλλ εκ καταλν πέμποντες διὰ ἰδίου ὑποδέκτου εἰς τὴν τάξιν καὶ μηδὲν ἐν τῇ ἀνταπολιτῶν καταβάλλοντες καὶ τὸ πρόσγραφον δ ῆ ἐμβολῆς τοῦ εὐλαβεστάτου μονάζοντος πάλιν διὰ ἰδίου ἀνθρώπου πέμποντες εἰς τὴν τάξιν ὡς μηδείαν ἔχειν τ ἐξπελλευτὴ διʼ ἡμῶν ἀλλʼ οὐδὲ ὠχλήθηα χληθηα ὔποτε ὑπὲρ τῆ ἡμῶν κώμης ἢ αὐτὸς ἢ ἄλλοι αλλος ἐξπελλευτοὶ εξπελλευτης πρὸ αὐτοῦ ἐπειδὴ δὲ ἀκήκοα ὡς καί τινα ἀήνεκται κατʼ ἐμοῦ παρὰ νέπωτος τοῦ σιγγουλαρίου ἐξ ὑποβολῆς ὡς εἴρηται τοῦ αὐτοῦ αἰδεσίμου ἀφθονίου ἑτοίμως ἔχω εἰ καη τὰ ἐντα ὁ αὐτὸς αἰδιος σιγάρι νέπως κ οδείξῃ τι τῶν παρʼ αὐτοῦ ἀνηνεγμένων παρʼ ἐμοῦ γεγενημένον ποκεῖ τοῖς προσταττομένοις παρὰ τῆς ὑμετέρας ἐξουσίας ὅτι γὰρ οὐδὲν τοιοτο ἢ ἐνεθυμήθην πώποτε ἢ διεπραξάμη ἐξ οὗ παρήγγειλα ες ἄνδρας οὔπω λέγω εἰς τὸν πρωτοκωμήτην θαρρῶν ἐμαυτῷ τοῦτο αὐτὸ κατατίθημι καὶ παρακαλῶ εἴπερ παρασταίη τῇ ὑμετέρᾳ ἐξουσίᾳ τὸν συνήθη λόγον κελεῦσαι δοθῆναί μοι ὃν πάντες ἔχουσιν οἱ τῆς ἐπαρχείας ἡμῶν ἰδιωτεύοντες οὔπω λέγω δημόσια χειρίζοντες αὐτὸς γὰρ ὁ ταῦτα ἀνενεγκὼν κατʼ ἐμοῦ ὑπὸ λόγον τυγχάνων ἀνήνεγκεν ψευδῆ κατʼ ἐῦ βουλμενός ε καθʼ ὑποβοὴν ἀφθονίου διωχθῆναι πρὸς περιγραφὴν τῆς αἰσί ἐμβολ αὶ τῶν ἄλλων δημοω ὅπως δυνηθῶ τὰς προόδους ποιήσασθαι καὶ καταλαβεῖν τὸ ὑμέτερον δικαστήριον καὶ ἀνεύθυνον ἐμαυτὸν ἀποδεῖξαι πάντων τῶν μάτην κατʼ ἐμοῦ κατηγορημένων παρὰ τῶν συκοφαντεῖν με ἐθελόντων καὶ τὸ δημόσιον διασκορπίζειν,Antinoopolis,"νεπωτος, αφθονιου, νεπως, αφθονιου, ","της ανταιοπολιτωνκ, εν τη ανταιοπολιτωνκ",['εξπελλευτοι: εξπελλευται']
TM 15337,nan,contract,AD 566,κωνσταντῖνος καλλινίκου σιγγ τῷ ἀδελφῷ διοσκόρῳ ἀπολλῶτος ἀπὸ ἀφροδ ἐδεξάμην καὶ ἐπληρώθην παρὰ σοῦ τοῦ τρίτου σου μέρους τοῦ γραμματίου τοῦ γεναμένου τῷ ἐμῷ πατρὶ παρὰ ἀπολλῶτος καὶ σενούθου τῶν μακαριωτ καὶ εἰ εὑρεθείη ποτὲ καιρῷ τὸ αὐτὸ γραμμάτιον ἄκυρον ἔσται καὶ ἀνίσχυρον πανταχοῦ προφερόμενον ὑπὲρ τοῦ τρίτου σου μέρους παρʼ οἱουδήποτε προσώπου καὶ διὰ τὸ ἐμὲ ἀπηλλάχθαι πρὸς σὲ περὶ τούτου καὶ πεπληρῶσθαι ταύτην ἐθέμην σοι τὴν λύσιν κυρίαν οὖσαν καὶ βεβαίαν μεθʼ ὑπογραφῆς ἐμῆς ὁλόγραφον χειρὶ ἐμῇ ἐγρ μεχεὶρ tripunct κη ἰνδ ιδ κωνσταντῖνος καλλινίκου πεποίημαι τήνδε τὴν λύσιν ὡς πρόκ δηλονότι τὸ δοθέν σοι παρὰ καλλινίκου τοῦ μακαριωτ μου πατρὸς ἐντάγιον προσερ ἄκυρον εἶναι καὶ ἀνίσχυρον πανταχοῦ προφερόμενον ὁ αὐτὸς σεσημ stauros χρ γενόμενο π κωνσταντίνου τοῦ υἱοῦ τοῦ μακαριωτ καλλινίκου ἀλεξάνδρου καλλινίκῳ π τοῦ ἐμοῦ πατρὸς τοῦ μακαριωτ ἀπολλῶτος καὶ σενούθου ἀπολλῶτος μακαριω τὸ τρίτον μου μέρος τοῦ χειρογράφ τωνωστουσιν,Antinoopolis,"κωνσταντινος, καλλινικου, διοσκορω, απολλωτος, απολλωτος, σενουθου, κωνσταντινος, καλλινικου, καλλινικου, κωνσταντινου, καλλινικου, καλλινικω, σενουθου, απολλωτος, απολλωτος, ",απο αφροδιτης,[]
TM 15338,nan,contract,AD 531,slantingstroke λαμπαδίου τῶν ἐνδοξοτάτ  κζ δεκάτης ἰνδκ ἀρχομένης ώμης ἀφροδίτης τοῦ ἀνταιολίτου νομοῦ γιος ἰωσηφίου ἀμφοτερμενοι βαίας οὔσης τῆ γενομέης σοι α βοσκήματα ἁπχοῦ προφερομενην ὁμολογοῦμεν δὲ ῦν διὰ ταύτης ἡμῶν ες καὶ ἀλληλανάδοι ἐσχηκέναι καὶ ρυσοῦ κεφαλαίου σμάτια παρὰ ταθμῷ ἅπερ παρα σχήκαμεν α κ ἑτοίμως ἔεν ταῦτα παρασχεῖν δε,Aphrodito,"αυρηλιω, αυρηλιοι, , ιωσηφιου, ","απο κωμης αφροδιτης, του ανταιοπολιτκου νομου, απο της αυτης κωμης αφροδιτης",['προφερομενην: προφερομενης']
TM 16258,nan,receipt,AD 551 - 552,δέδωκεν ἀπολλὼς διοσκώρου δι τῶν κληρ αὐτοῦ εἰς λόγον ἐμβολῆς πεντεκαιδεκάτης ἰνδ κωμτ κώμ φθλᾶ δι προσγράφ τιμοθέου γραμ κώμ ἀφροτίτ σίτου κανόνος ἀρτάβας εἴκοσι τέταρτον τετρακαιεικοστὸν τεσσαρακοστόγδν γί σίτου κανό κ δ κδ μη ὁ ἐνδοξ πάγαρχος ἰουλιανὸς ἰλλούστρ διʼ ἐμοῦ πνίννου βοηθ ε ι πρόκ ἡ ἁγί ιάς κ δ η,Aphrodito,"απολλως, διοσκωρου, τιμοθεου, ιουλιανος, πνιννου, ","κωμης φθλα, κωμης αφροτιτης","['διοσκωρου: διοσκορου', 'αφροτιτης: αφροδιτης']"
TM 17532,nan,contract,AD 569 - 570,λίυ ἰυστίνου το ἰωνίου αὐγούστου κτίονος ἐν ἀντινόου πόλει τ ος ἀβρααμίου τοῦ θυρουροῦ τ αὶ μηναδίας τῶν ἀφηλίκν δ ων παρόντων αὐρηλίων γενναδί τούτου γαμετῆς ἀναστᾶς θυγατρ ης τῆς καλλιπόλεως ἀντινοέων παρ ωτικὴ ὁμλογία ἐπὶ τοῖς ἑξῆς δηλουμ ος καὶ ἀναστᾶ ἡ αὐτοῦ γαμετὴ διὰ ταύτ εμίσθωσθαι παρʼ ὑμῶν πρὸς ὃν βολ αρούσης τρίτης ἐπινεμήσεως κα ων κημα κατὰ κοινωνίαν ὑπ θʼ ἡμίσαν μοῖραν ἑκάστου ὑμῶν δ ερήνου τοῦ ἀθλοφόρου νεὸν ἐπὶ α τοῦ περιοχῇ ᾠκοδομημένον καὶ π νω,Antinoopolis,"αβρααμιου, μηναδιας, αυρηλιων γενναδιου, αναστας, γενναδιος, αναστα, σερηνου, ","εν αντινοου πολει, απο ταυτηκς της καλλιπολεως αντινοεων",['ημισιαν: ημισειαν']
TM 17592,nan,contract,AD 524,stauros ὑπατείας τοῦ δεσπότου ἡμῶν φλ ἰουστίνου τοῦ αἰωνίου αὐγούστου αὐτοκράτορος τὸ β κ φλ ὀπιλιανοῦ τοῦ λαμπρ φαῶφι θ τρίτης ἰνδικ αὐρηλίῳ ἀπολλῶτι διοσκόρου ἀπὸ κώμης ἀφροδίτης τοῦ ἀνταιοπολίτου νομοῦ π αὐρηλίου βίκτορος ἑρμαυῶτος κ ἑτέρου βίκτορος ψεμούθου κ φοιβάμμωνος ψαίου πάνων ποιμένων κ ἀγροφυλάκων τῆς αὐτῆς κώμης χαίρ μεμισθώμεθα παρὰ σοῦ πρὸς μόνον τὸν παρόντα ἐνιαυτὸν κατασπορᾶς γενήματος σὺν θεῷ μελλούσης τετης ἰνδικ τὸ ὑπάρχον σοι ἥμισυ μέρος ἀπὸ τῶν ἀρουρῶν καλουμέν κασινλα κλήρου τχηνεστατε τουτέστι τὸ νότινον μέρς ἐγγὺς τοῦ ὁρίου ἐμοῦ βίκτορος ἑρμαυῶ σὺν πᾶσι τοῖς ἐνοῦσι κ ἀνήκουσι προστα κω δικαίῳ κατὰ τὰ τρία κατὰ μέρος κοινῶν πρὸς τὰς ἀρούρας σου κοινωνους πρὸς τὰ ὄντα ἑκάστῳ δίκαια ἐφʼ ᾧ ἡμᾶς τοῦτο γεωργῆσαι καὶ ποτίσαι ἀπὸ λάκκου ἐμοῦ βίκτορος κτήματος κ παρέξωμέν σοι τὸν φόρον ὑπὲρ ὧν δυνησόμεθα ἀρτεῦσαι ἑκάστης ἀρούρης πρὸς ἀναμέτρησιν σχοινίου,Aphrodito,"αυρηλιω απολλωτι, διοσκορου, αυρηλιου βικτορος, ερμαυωτος, βικτορος, ψενπνουθου, φοιβαμμωνος, ψαιου, βικτορος, ερμαυωτος, βικτορος, ","απο κωμης αφροδιτης, του ανταιοπολιτου νομου, απο των αρουρων καλουμενων κασινλα, κληρκου τχηνεσταυκε","['παρεξωμεν: παρεξομεν', 'αρτευσαι: αρδευσαι']"
TM 17593,nan,contract,AD 518 - 527,gaplines ἀπὸ τῆς αὐτῆς κώμης ἀφροδίτης τοῦ αὐτοῦ νομ τε παντοκράτορα θεὸν καὶ τὴν θείαν καὶ οὐρανίον δεσπότου ἡμῶν φλαυίου ἰουστίνου τοῦ αἰωνίου αὐγούστου ι καὶ ἀναδεδέχθαι μονῆς καὶ ἐμφανείας αὐρήλιον ἀπόλλωνα ἐκ πατρὸς ψαίου ποιμενον ἐπὶ τῷ αὐτὸν ὑπουργεῖν καὶ τὴν ὑπʼ αὐτὸν πεδιάδος λεγομένης φερκω καὶ ὑπουργεῖν ς καὶ άντα τὰ ἐπιζητούμενα πρόσωπα ἀμέμπτως καὶ καὶ ἀκταγνώστως ἐκτελέσαι ἀλλʼ ἀεὶ ζητούμενον αὐτὸν αραδώομεν τῇ ὑμῶν ἐντρεχείᾳ ἐκτὸς ἁγίων περιβόλων ήρων καὶ ἁγίας κυριακῆς ἐν δημοσίῳ τόπῳ ἐν αὐτῷ τῷ παγανικῷ ρατιωτικοῦ σχήματος ἢ μοναχικοῦ καὶ μηδαμῶς αὐτὸν δὲ ἀπολημφθείη καὶ ζητούμενον αὐτὸν μὴ παρέξομεν τοὶ ἐπιγνῶναι οἴκοθεν αὐτῇ ὑπὲρ τῆς τουτον ἀπολίψεως ρεῖς κινδύνῳ ἡμῶν καὶ τῆς ἡμῶν ὑποστάσεως γενικῶς τε καὶ εψευσάμεθα ἢ ἔνοχος εἰη τῷ θείῳ ὅρκῳ καὶ τῷ περὶ τούτου δύνῳ καὶ ἐπερωτηθέντες ὡμολογήσαμεν αὐρήλιος ου ὁ προκ ἐγγυομαι τὸν προκ ἀπολλων εἰς χρυσοῦ καὶ ὄμοσα τὸν θεῖον ὅρκον ὡς πρόκ καὶ ὑπογράψας αὐρήλιος ἑρμαῶς βόττου ὁ προκ ἐγγυῶμαι χρυσοῦ ὐγκία,Aphrodito,"αυρηλιον απολλωνα, ψαιου, αυρηλιος, απολλων, αυρηλιος ερμαως, βοττου, απολλωνα, ","απο της αυτης κωμης αφροδιτης, του αυτου νομου, απο της αυτης κωμης αφροδιτης, της πεδιαδος λεγομενης φερκω","['απολημφθειη: απολειφθειη', 'τουτον: τουτου', 'ενοχος: ενοχοι', 'απολλων: απολλωνα', 'εγγυο͂μαι: εγγυωμαι', 'ομοσα: ωμοσα', 'ποιμενον: ποιμενα']"
TM 17594,nan,other,AD 538 - 28,ὑπατείας φλα ἰωάννου τοῦ ἐνδοξοτάτου μεσορὴ ἐπαγομένων slantingstroke slantingstroke δευτέρας ἰνδικ τῷ καίῳ τοῦ ἁγίου μοναστηρίου ἄπα ἀγενίου ὄρους τοῦ ἀπολλωνοπολίτου μιοῦ νομοῦ ὑπὸ τὴν διοίκησιν τοῦ ἐνδοξ κόμ ἀμμωνίου τοῦ θείου κονσιστωρίου δι οῦ σεβασμιωτάτου ἄπα ἀπολλῶτος διοσκόρου ψιμανωβετʼ ἀπὸ ἀφροδίτης τῆς κώμης τοῦ ἀνταιοπολίτου νομοῦ π αὐρηλίου γεωργίου ἐκ πατρὸς ἰω ρακλείου ἐκ μη νόννας καταμένοντος ἐπὶ τῆς α κώμης ἀφροδί χ ς καὶ αὐθαιρέτως ἑτοίμως ἔχω ἐπὶ τεσσάρων ἐτῶν gaplines,Aphrodito,"αμμωνιου, απα απολλωτος, διοσκορου, ψιμανωβετ, αυρηλιου γεωργιου, ιωσηφ, ηρακλειου, νοννας, ","του αγιου μοναστηριου απα αγενιου ορους, του απολλωνοπολιτου μικρου νομου, απο αφροδιτης της κωμης, του ανταιοπολιτου νομου, επι της αυτης κωμης αφροδιτης",[]
